epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7078,1.52771,2.09552,1.1968,0.82112,0.71382,0.75638,0.39458,1.30081,0.87831,1.07738,0.000465256,0.000465256,0.000465256
2,116.036,1.4733,1.05189,1.12116,0.82838,0.80826,0.85324,0.47013,1.18688,0.76344,1.07444,0.000932267,0.000932267,0.000932267
3,150.012,1.36415,0.87288,1.08455,0.83139,0.75958,0.81603,0.46197,1.28407,0.8346,1.15931,0.00138985,0.00138985,0.00138985
4,184.869,1.36896,0.80688,1.11749,0.7871,0.796,0.85215,0.46202,1.24699,0.78904,1.07161,0.00138656,0.00138656,0.00138656
5,220.06,1.32145,0.82266,1.04413,0.84202,0.78864,0.84017,0.48992,1.18568,0.74441,1.05845,0.00137241,0.00137241,0.00137241
6,255.444,1.31578,0.76909,1.07484,0.84763,0.80677,0.85959,0.50048,1.14357,0.65393,1.04643,0.00135826,0.00135826,0.00135826
7,289.03,1.24081,0.69408,1.01918,0.81447,0.82102,0.85347,0.49659,1.0838,0.62257,1.0215,0.00134412,0.00134412,0.00134412
8,326.576,1.25038,0.71992,1.04807,0.8871,0.8388,0.89042,0.54013,1.10958,0.60645,1.0151,0.00132997,0.00132997,0.00132997
9,364.523,1.23436,0.68119,1.03233,0.8489,0.85118,0.89522,0.55978,1.06086,0.63403,1.0155,0.00131582,0.00131582,0.00131582
10,400.352,1.19133,0.64714,1.04887,0.82523,0.81771,0.87681,0.51577,1.18928,0.68302,1.04395,0.00130168,0.00130168,0.00130168
11,433.718,1.2432,0.68611,1.04553,0.86842,0.84736,0.88134,0.52243,1.09893,0.60229,1.0226,0.00128753,0.00128753,0.00128753
12,470.548,1.26725,0.67829,1.07771,0.86975,0.85874,0.90316,0.58296,1.0283,0.55108,1.0141,0.00127338,0.00127338,0.00127338
13,508.612,1.18632,0.64088,1.0393,0.85228,0.85021,0.90082,0.56954,1.05883,0.57284,1.01473,0.00125923,0.00125923,0.00125923
14,546.069,1.13399,0.623,0.99908,0.86068,0.85166,0.89701,0.54958,1.05529,0.58196,1.01955,0.00124509,0.00124509,0.00124509
15,581.002,1.13685,0.62572,1.01123,0.8643,0.85925,0.90784,0.57229,1.02798,0.55665,1.00803,0.00123094,0.00123094,0.00123094
16,617.591,1.13297,0.60197,1.03852,0.8801,0.8612,0.91435,0.57129,1.04679,0.56035,0.99376,0.00121679,0.00121679,0.00121679
17,653.498,1.15856,0.64004,1.03287,0.89069,0.84408,0.9063,0.58976,0.97256,0.54658,0.98932,0.00120265,0.00120265,0.00120265
18,687.187,1.08864,0.59098,1.01174,0.84612,0.88736,0.90474,0.57653,0.99435,0.56059,1.00528,0.0011885,0.0011885,0.0011885
19,721.925,1.1316,0.60157,1.02906,0.90621,0.85397,0.91452,0.58952,1.02881,0.5559,0.99151,0.00117435,0.00117435,0.00117435
